county,counts,RUCC_2023,urban,share_black
12071,761.1666666666667,2.0,1.0,0.08121358429566727
12073,267.0,2.0,1.0,0.30962143213101234
12075,33.16666666666667,2.0,1.0,0.08371862615587847
12077,1.5,8.0,0.0,0.1486165018154501
12079,12.333333333333334,8.0,0.0,0.36806825106642294
12081,333.7,2.0,1.0,0.08292555670374648
12083,276.5,2.0,1.0,0.12605164537276037
12085,215.6,2.0,1.0,0.05639104867896642
12086,4759.5,1.0,1.0,0.16282550212574715
12087,102.5,4.0,0.0,0.07156753076212247
12089,65.75,1.0,1.0,0.05512362699453058
12091,136.0,2.0,1.0,0.09602829422166993
12093,7.35,4.0,0.0,0.08621210595226106
12095,2057.5,1.0,1.0,0.20737203969788978
12097,520.75,1.0,1.0,0.10871845839545027
12099,2597.0,1.0,1.0,0.18617732659210265
12101,415.6666666666667,1.0,1.0,0.0586459704349907
12103,1074.5,1.0,1.0,0.10276422798174092
12105,601.0,2.0,1.0,0.15027595954836864
12107,62.166666666666664,4.0,0.0,0.15981516671907256
12109,157.0,1.0,1.0,0.05349911938703316
12111,371.85,2.0,1.0,0.2042304504943022
12113,108.5,2.0,1.0,0.058753966747131736
12115,496.7,2.0,1.0,0.043469450500307455
12117,613.0,1.0,1.0,0.1191445113419002
12119,80.66666666666667,3.0,1.0,0.07309851965288412
12121,27.5,6.0,0.0,0.11718067748310888
12123,11.333333333333334,6.0,0.0,0.22456575682382135
12125,3.1666666666666665,8.0,0.0,0.1831980670342606
12127,448.5,2.0,1.0,0.10900665654730558
12129,7.0,2.0,1.0,0.13510741008930727
12131,69.83333333333333,2.0,1.0,0.042147680243955564
12133,16.666666666666668,3.0,1.0,0.14940175058218902
13001,28.46666666666667,7.0,0.0,0.19709330595926305
13003,4.416666666666667,9.0,0.0,0.1610835651227476
13005,4.5,9.0,0.0,0.15802203708680462
13007,7.083333333333333,8.0,0.0,0.39036885245901637
13009,22.066666666666666,4.0,0.0,0.4147369860516
13011,28.083333333333336,8.0,0.0,0.02624439399811749
13013,31.833333333333332,1.0,1.0,0.1249969563417663
13015,98.58333333333331,1.0,1.0,0.10317239589127453
13017,3.3333333333333335,7.0,0.0,0.37210651505482395
13019,26.75,8.0,0.0,0.09760923330585326
13021,196.66666666666669,3.0,1.0,0.5433824045536051
13023,7.0,6.0,0.0,0.27869765960834264
13025,10.166666666666664,3.0,1.0,0.023406374501992032
13027,32.83333333333333,3.0,1.0,0.3587424633936262
13029,22.0,2.0,1.0,0.1419427884837562
13031,78.33333333333333,4.0,0.0,0.2787342249011113
13033,41.99999999999999,2.0,1.0,0.46382732862861625
13035,58.0,1.0,1.0,0.2809218436873748
13037,6.583333333333334,8.0,0.0,0.6169724770642202
13039,39.5,4.0,0.0,0.18379534060749042
13043,7.833333333333334,9.0,0.0,0.2246210381258613
13045,98.99999999999999,1.0,1.0,0.1997685849901184
13047,24.666666666666668,2.0,1.0,0.02261057429082999
13049,2.333333333333333,8.0,0.0,0.2762564432989691
13051,248.0,2.0,1.0,0.4035954751284704
13053,1.0,2.0,1.0,0.1946921221021714
13055,35.5,6.0,0.0,0.09771869226443891
13057,350.25,1.0,1.0,0.0726898209074784
13059,62.333333333333336,3.0,1.0,0.27768633722064046
13061,5.166666666666666,9.0,0.0,0.5633021158515436
13063,675.6666666666666,1.0,1.0,0.7052576146227938
13065,7.916666666666667,8.0,0.0,0.25545495027460297
13067,1186.5833333333333,1.0,1.0,0.27491147540983607
13069,42.166666666666664,7.0,0.0,0.28647091618658244
13071,19.416666666666668,6.0,0.0,0.23432314410480348
13073,106.33333333333333,2.0,1.0,0.16864150796634558
13075,13.25,6.0,0.0,0.2683267395857575
13077,96.33333333333333,1.0,1.0,0.1762599359682049
13079,15.166666666666668,3.0,1.0,0.21070811744386875
13081,14.166666666666668,6.0,0.0,0.4567335801987917
13083,5.0,2.0,1.0,0.011218046956415128
13085,23.666666666666664,1.0,1.0,0.008548965727807037
13087,38.75,6.0,0.0,0.41560992419021364
13089,1582.4999999999998,1.0,1.0,0.5284247740016925
13091,14.5,7.0,0.0,0.3003136044601523
13093,15.666666666666668,8.0,0.0,0.492551532998441
13095,84.08333333333334,3.0,1.0,0.6991765044630003
13097,282.49999999999994,1.0,1.0,0.4830128205128205
13099,7.083333333333334,8.0,0.0,0.5293628040321835
13101,3.5,3.0,1.0,0.030885938769981035
13103,37.0,2.0,1.0,0.1357962425923591
13105,9.5,6.0,0.0,0.2861255333367604
13107,33.96666666666667,7.0,0.0,0.32310127973965436
13109,5.5,8.0,0.0,0.284453117739987
13111,17.333333333333332,8.0,0.0,0.0031351694578934837
13113,211.66666666666666,1.0,1.0,0.2400363241334827
13115,108.66666666666667,3.0,1.0,0.1407799613074025
13117,231.33333333333334,1.0,1.0,0.03781423700122887
13119,23.25,8.0,0.0,0.08784829721362229
13121,1791.6666666666667,1.0,1.0,0.4348819959669388
13123,27.833333333333332,6.0,0.0,0.006023126227976938
13125,3.25,9.0,0.0,0.10196348604891492
13127,97.66666666666666,3.0,1.0,0.2544534388963294
13129,30.999999999999996,4.0,0.0,0.0319516709152495
13131,38.0,6.0,0.0,0.2843610983279644
13133,37.25,8.0,0.0,0.3298846216347977
13135,1455.3333333333335,1.0,1.0,0.2829811123821171
13137,31.583333333333336,6.0,0.0,0.032840256079708086
13139,220.41666666666669,3.0,1.0,0.07097564240492209
13141,18.316666666666666,9.0,0.0,0.7362459546925566
13143,19.5,1.0,1.0,0.04830722587165235
13145,28.666666666666668,2.0,1.0,0.15739013871080546
13147,42.5,6.0,0.0,0.1943970861748295
13149,45.666666666666664,1.0,1.0,0.0986013986013986
13151,292.1666666666667,1.0,1.0,0.4668554402721721
13153,105.08333333333333,3.0,1.0,0.3152931249495896
13155,8.833333333333332,9.0,0.0,0.27841913676547064
13157,56.333333333333336,4.0,0.0,0.074229065940763
13159,36.166666666666664,1.0,1.0,0.18365796380715568
13161,10.0,9.0,0.0,0.1308886328204433
13163,12.0,8.0,0.0,0.524446142093201
13165,2.5000000000000004,9.0,0.0,0.3154262049925227
13167,2.916666666666667,9.0,0.0,0.33574201898188094
13169,56.56666666666666,3.0,1.0,0.24408947945011839
13171,22.25,6.0,0.0,0.27929877718861595
13173,5.25,3.0,1.0,0.2264533117277699
13175,35.916666666666664,4.0,0.0,0.38362261696678995
13177,63.91666666666667,3.0,1.0,0.22788582665068977
13179,40.5,3.0,1.0,0.41410451705163676
13181,2.0,2.0,1.0,0.2896174863387978
13183,30.5,3.0,1.0,0.23167459446273936
13185,89.25,3.0,1.0,0.37125437468600186
13187,22.999999999999996,1.0,1.0,0.015005423647101362
13189,15.333333333333332,2.0,1.0,0.409260367284945
13191,14.0,3.0,1.0,0.3224692232751749
13193,19.583333333333336,8.0,0.0,0.6055961070559611
13195,16.833333333333332,3.0,1.0,0.08657125660402595
13197,3.166666666666667,2.0,1.0,0.3039799021552294
13199,37.33333333333333,1.0,1.0,0.39300062926569534
13201,6.75,9.0,0.0,0.2767379679144385
13205,20.5,6.0,0.0,0.46536007292616227
13207,45.583333333333336,3.0,1.0,0.22371967654986524
13209,8.25,9.0,0.0,0.25813124928169173
13211,11.25,1.0,1.0,0.2224535391489794
13213,45.0,3.0,1.0,0.0072516498130630064
13215,412.8333333333333,2.0,1.0,0.46350664983412115
13217,125.33333333333333,1.0,1.0,0.45700239075335697
13219,73.25,3.0,1.0,0.03579963907720821
13221,9.0,3.0,1.0,0.17348941065024698
13223,202.75,1.0,1.0,0.20338829607454975
13225,18.083333333333336,3.0,1.0,0.4462655452519589
13227,27.166666666666664,1.0,1.0,0.012860364478576218
13229,16.166666666666668,8.0,0.0,0.10003054367745877
13231,14.666666666666666,1.0,1.0,0.08579503039351605
13233,24.5,4.0,0.0,0.122575658202942
13235,16.833333333333332,8.0,0.0,0.39486051394860516
13237,28.15,8.0,0.0,0.2675811614083219
13239,2.0,8.0,0.0,0.5228990662516674
13241,15.5,9.0,0.0,0.01368716753332138
13243,3.5,8.0,0.0,0.6403198523758266
13245,195.0,2.0,1.0,0.5584919230993527
13247,283.16666666666663,1.0,1.0,0.5631351967563963
13249,7.5,8.0,0.0,0.25356988316746
13251,13.666666666666666,8.0,0.0,0.4126746506986028
13253,2.3333333333333335,8.0,0.0,0.3261967501097936
13255,69.5,1.0,1.0,0.34194118881328495
13257,7.75,7.0,0.0,0.10757854434893585
13259,5.0,2.0,1.0,0.5936038900317935
13261,31.0,6.0,0.0,0.5140788144156282
13263,10.833333333333334,2.0,1.0,0.56467363371595
13265,1.0,8.0,0.0,0.5571791613722998
13267,12.3,8.0,0.0,0.281547542113653
13269,8.333333333333332,8.0,0.0,0.3997709049255441
13271,13.0,9.0,0.0,0.35303265940902023
13273,8.25,3.0,1.0,0.5702043506921556
13275,36.66666666666667,4.0,0.0,0.36225886268584817
13277,34.583333333333336,5.0,0.0,0.2913142801594245
13279,7.05,7.0,0.0,0.2579388633328387
13281,11.166666666666666,9.0,0.0,0.022682926829268292
13283,7.3,9.0,0.0,0.2775351014040562
13285,64.83333333333333,4.0,0.0,0.3665069153605918
13287,2.3333333333333335,9.0,0.0,0.3780487804878049
13289,9.666666666666666,3.0,1.0,0.4143639531989047
13291,19.0,8.0,0.0,0.00831162386800645
13293,28.75,6.0,0.0,0.28960035005834306
13295,45.166666666666664,2.0,1.0,0.03991323850557753
13297,115.08333333333331,1.0,1.0,0.1844677485254523
13299,31.0,5.0,0.0,0.3043177031371245
13301,10.583333333333332,8.0,0.0,0.6036795707167497
13303,10.583333333333334,7.0,0.0,0.520197486535009
13305,23.5,6.0,0.0,0.18586891559864532
13307,2.0,8.0,0.0,0.3899662731871838
13309,6.5,9.0,0.0,0.3395877378435518
13311,21.333333333333332,8.0,0.0,0.017499820698558415
13313,84.0,3.0,1.0,0.03426597850130001
13315,11.666666666666668,9.0,0.0,0.3440787241262301
13317,13.0,8.0,0.0,0.40734211345017113
13319,37.9,8.0,0.0,0.3848393237039525
13321,54.833333333333336,3.0,1.0,0.2752112946600077
